diamond  17 站点信息2416站  2416
54113  4332  11839 623.3  32 1 巴林右旗
54115  4336  11804 803.8  4 1 林西县
54117  4315  11732 1004.8  32 1 克什克腾旗
54122  4353  12003 375.4  32 1 阿鲁科尔沁旗
54132  4224  12104 400.2  32 1 青龙山
54134  4336  12117 242.3  16 1 开鲁
54135  4336  12216 180.1  2 1 通辽
54142  4330  12332 116.1  16 1 双辽
54154  4321  12418 163.6  32 1 梨树
54155  4340  12414 145.0  32 1 孤家子
54156  4331  12448 200.9  32 1 公主岭
54157  4310  12420 167.2  4 1 四平
54161  4354  12513 238.5  2 1 长春
54164  4321  12517 249.8  32 1 伊通
54165  4333  12538 220.2  32 1 双阳
54169  4318  12601 270.3  32 1 烟筒山
54171  4342  12631 232.4  32 1 永吉
54172  4347  12636 199.8  16 1 吉林城郊
54181  4342  12720 294.5  32 1 蛟河
54186  4322  12812 525.1  16 1 敦化
54187  4307  12855 369.0  32 1 安图
54192  4342  13016 386.0  32 1 罗子沟
54195  4318  12947 244.9  16 1 汪清
54204  4218  11500 1347.8  32 1 正镶白旗
54205  4214  11600 1316.6  32 1 正蓝旗
54208  4211  11628 1247.0  4 1 多伦县
54213  4255  11901 635.7  16 1 翁牛特旗
54214  4235  11825 961.1  32 1 岗子
54218  4216  11856 569.8  2 1 赤峰
54223  4251  12039 364.0  32 1 奈曼
54225  4217  11955 589.3  32 1 敖汉旗
54226  4220  12042 402.0  16 1 宝国吐
54231  4258  12221 249.3  32 1 科左后旗
54234  4244  12145 300.3  32 1 库伦
54236  4223  12233 84.2  16 1 彰武
54237  4204  12145 172.4  8 1 阜新
54243  4247  12407 165.8  32 1 昌图
54244  4245  12320 120.1  32 1 康平
54245  4230  12324 99.3  32 1 法库
54248  4202  12332 67.8  32 1 新城子
54249  4218  12352 79.4  32 1 铁岭
54252  4244  12445 198.5  32 1 西丰
54254  4232  12403 102.8  32 1 开原
54259  4206  12455 235.3  8 1 清原
54260  4255  12505 254.4  32 1 辽源
54261  4241  12531 343.0  32 1 东丰
54263  4258  12603 339.5  32 1 磐石
54266  4232  12538 341.3  32 1 梅河口
54267  4215  12544 363.2  32 1 柳河
54273  4259  12645 264.2  4 1 桦甸
54274  4241  12604 300.1  32 1 辉南
54276  4221  12649 550.3  32 1 靖宇
54279  4203  12635 545.4  6 1 江源
54284  4206  12734 775.1  16 1 东岗
54285  4225  12807 722.4  2 1 二道
54286  4232  12900 475.1  32 1 和龙
54287  4201  12805 2623.9  16 1 天池
54290  4246  12924 245.2  32 1 龙井
54291  4254  13017 37.8  32 1 珲春
54292  4252  12930 256.0  2 1 延吉
54293  4257  12950 141.0  32 1 图们
54301  4140  11540 1414.0  32 1 沽源
54304  4058  11517 1249.0  32 1 崇礼
54305  4153  11516 1468.7  32 1 太仆寺旗
54308  4112  11638 733.9  16 1 丰宁
54311  4158  11746 884.7  16 1 围场
54313  4156  11842 734.8  32 1 喀喇沁旗
54316  4131  11845 680.7  32 1 八里罕
54318  4119  11744 562.8  32 1 隆化
54319  4100  11840 509.3  32 1 平泉
54320  4136  11918 546.0  32 1 宁城县
54321  4152  11938 661.6  32 1 建平镇
54323  4149  12047 253.5  32 1 北票
54324  4133  12026 175.3  16 1 朝阳
54325  4111  12021 183.1  32 1 羊山
54326  4123  11942 425.4  16 1 建平县
54327  4114  11921 421.5  32 1 凌源
54328  4105  11943 300.6  32 1 喀左
54330  4110  12122 61.5  32 1 凌海
54331  4135  12146 83.2  32 1 北镇
54332  4131  12243 13.9  32 1 辽中
54333  4158  12251 32.1  32 1 新民
54334  4131  12114 69.8  32 1 义县
54335  4141  12205 41.8  16 1 黑山
54336  4125  12225 13.1  32 1 台安
54337  4108  12107 70.2  2 1 锦州
54338  4117  12157 4.1  32 1 盘山
54339  4105  12300 78.5  16 1 鞍山
54340  4140  12319 47.6  32 1 苏家屯
54342  4144  12331 49.5  2 1 沈阳
54345  4112  12304 29.6  32 1 辽阳县
54346  4119  12347 186.1  16 1 本溪
54347  4114  12310 25.7  32 1 辽阳
54348  4125  12319 43.4  32 1 灯塔
54349  4118  12407 214.6  32 1 本溪县
54351  4155  12405 116.5  16 1 抚顺
54353  4144  12503 328.9  32 1 新宾
54362  4140  12544 388.8  32 1 通化县
54363  4141  12554 404.3  16 1 通化
54365  4117  12521 252.0  16 1 桓仁
54371  4156  12626 521.8  32 1 白山
54374  4148  12653 381.8  4 1 临江
54377  4106  12609 178.8  16 1 集安
54386  4125  12811 777.8  16 1 长白
54398  4008  11637 29.6  32 1 顺义
54399  3959  11617 46.9  32 1 海淀
54401  4047  11453 725.8  4 1 张家口
54404  4053  11550 868.1  32 1 赤城
54405  4025  11530 571.3  16 1 怀来
54406  4027  11558 489.4  32 1 延庆
54408  4023  11513 531.3  32 1 涿鹿
54410  4036  11608 1216.9  32 1 佛爷顶
54412  4044  11638 334.2  32 1 汤河口
54416  4023  11652 73.4  32 1 密云
54419  4022  11638 75.6  32 1 怀柔
54420  4056  11720 530.2  32 1 滦平
54421  4039  11707 286.5  32 1 密云上甸子
54423  4059  11757 385.7  4 1 承德
54424  4010  11707 33.1  32 1 平谷
54425  4025  11729 584.2  32 1 兴隆
54428  4002  11724 19.9  32 1 蓟县
54429  4012  11757 56.3  16 1 遵化
54430  4046  11809 268.9  32 1 承德县
54431  3955  11638 40.6  32 1 通州
54432  4036  11829 305.8  32 1 宽城
54433  3957  11630 36.3  32 1 朝阳
54434  4010  11818 103.9  32 1 迁西
54436  4024  11857 228.7  16 1 青龙
54437  3930  11839 19.3  32 1 滦南
54438  3953  11853 61.8  32 1 卢龙
54439  4001  11843 51.9  32 1 迁安
54449  3951  11931 3.3  32 1 秦皇岛
54452  4048  11949 367.8  32 1 建昌
54453  4047  12053 43.0  32 1 连山区
54454  4020  12018 29.0  16 1 绥中
54455  4035  12042 11.8  32 1 兴城
54470  4101  12204 6.1  32 1 大洼
54471  4039  12210 4.6  4 1 营口
54472  4053  12243 26.5  32 1 海城
54474  4025  12221 27.6  32 1 盖州
54475  4037  12229 15.3  32 1 大石桥
54476  4010  12209 37.9  32 1 熊岳
54483  4053  12354 239.8  32 1 草河口
54486  4017  12317 81.3  32 1 岫岩
54493  4043  12447 262.1  4 1 宽甸
54494  4028  12404 74.4  32 1 凤城
54497  4003  12420 12.9  4 1 丹东
54499  4013  11613 75.5  32 1 昌平
54501  3958  11541 441.1  32 1 斋堂
54502  3929  11602 30.4  32 1 涿州
54503  3904  11549 13.6  32 1 容城
54505  3955  11607 94.2  32 1 门头沟
54506  3919  11553 29.5  32 1 高碑店
54507  3921  11530 52.5  32 1 易县
54510  3954  11659 18.2  32 1 大厂
54511  3948  11628 32.5  1 1 北京
54512  3925  11617 22.4  32 1 固安
54513  3957  11612 67.1  32 1 石景山
54514  3952  11615 56.7  32 1 丰台
54515  3930  11642 14.5  32 1 廊坊
54517  3904  11712 5.9  32 1 天津市城市气候监测站
54518  3907  11623 10.0  16 1 霸州
54519  3918  11629 13.1  32 1 永清
54520  3958  11705 19.1  32 1 三河
54521  3946  11659 14.3  32 1 香河
54522  3953  11744 19.8  32 1 玉田
54523  3923  11701 12.5  32 1 武清
54525  3944  11717 11.0  32 1 宝坻
54526  3905  11720 10.8  32 1 东丽区
54527  3905  11703 3.8  4 1 天津
54528  3914  11708 7.7  32 1 北辰区
54529  3921  11749 12.0  32 1 宁河
54530  3914  11746 6.1  32 1 汉沽区
54531  3944  11843 43.8  32 1 滦县
54532  3948  11806 35.3  32 1 丰润
54533  3935  11806 9.0  32 1 丰南
54534  3939  11806 24.0  4 1 唐山
54535  3917  11828 3.5  32 1 唐海
54539  3926  11853 12.0  2 1 乐亭
54540  3943  11910 14.6  32 1 昌黎
54541  3954  11914 23.8  32 1 抚宁
54563  3938  12201 119.0  16 1 瓦房店
54568  3905  12142 40.5  32 1 金州
54569  3924  12158 35.4  32 1 普兰店
54575  3925  12222 44.2  32 1 皮口
54579  3916  12235 33.6  32 1 长海
54584  3943  12257 39.3  32 1 庄河
54590  3953  12410 5.3  32 1 东港
54594  3943  11621 38.8  32 1 大兴
54596  3941  11608 40.5  32 1 房山
54597  3944  11544 409.4  32 1 霞云岭
54601  3859  11539 14.1  32 1 徐水
54602  3851  11531 18.9  4 1 保定
54603  3843  11546 10.7  32 1 高阳
54604  3825  11520 31.1  32 1 安国
54605  3856  11556 7.1  32 1 安新
54606  3814  11544 23.2  32 1 饶阳
54607  3843  11507 45.9  32 1 望都
54608  3800  11533 27.3  32 1 深州
54609  3815  11530 25.8  32 1 安平
54610  3844  11606 9.5  32 1 任丘
54611  3856  11519 45.9  32 1 满城
54612  3852  11627 7.4  32 1 文安
54613  3842  11637 8.1  32 1 大城
54614  3827  11605 13.5  32 1 河间
54615  3835  11650 8.5  32 1 青县
54616  3821  11651 9.4  4 1 沧州
54617  3811  11607 13.9  32 1 献县
54618  3805  11633 14.6  32 1 泊头
54619  3855  11655 8.7  32 1 静海
54620  3829  11534 19.8  32 1 蠡县
54621  3811  11511 39.0  32 1 深泽
54622  3859  11722 3.9  32 1 津南区
54623  3903  11743 12.8  16 1 塘沽
54624  3822  11721 7.6  16 1 黄骅
54626  3825  11549 15.4  32 1 肃宁
54627  3802  11714 8.8  32 1 盐山
54628  3809  11729 7.9  32 1 海兴
54631  3704  11509 33.4  32 1 广宗
54632  3704  11502 34.8  32 1 平乡
54633  3731  11514 27.9  32 1 新河
54636  3901  11606 12.0  32 1 雄县
54640  3655  11452 37.2  32 1 鸡泽
54644  3803  11707 11.4  32 1 孟村
54645  3851  11728 3.5  32 1 大港
54646  3827  11825 19.8  32 1 渤海A平台
54660  3849  12114 65.5  32 1 旅顺
54662  3854  12138 90.4  2 1 大连
54700  3802  11556 16.8  32 1 武强
54701  3756  11512 41.8  32 1 辛集
54702  3744  11542 22.0  32 1 衡水
54703  3748  11553 25.3  32 1 武邑
54704  3733  11534 23.1  32 1 冀州
54705  3722  11523 29.4  16 1 南宫
54706  3705  11540 32.5  32 1 清河
54707  3721  11559 28.5  32 1 故城
54708  3730  11544 24.6  32 1 枣强
54709  3713  11604 30.6  32 1 武城
54710  3752  11610 19.5  32 1 阜城
54711  3742  11617 19.0  32 1 景县
54712  3712  11649 23.6  32 1 临邑
54713  3753  11632 15.1  32 1 东光
54714  3727  11620 24.4  4 1 德州
54715  3719  11634 22.8  16 1 陵县
54716  3740  11648 17.2  32 1 宁津
54717  3738  11624 18.1  32 1 吴桥
54718  3709  11626 26.5  32 1 平原
54719  3802  11641 12.4  32 1 南皮
54722  3745  11738 7.2  32 1 无棣
54723  3739  11734 11.6  32 1 阳信
54724  3719  11708 21.6  32 1 商河
54725  3730  11732 12.1  4 1 惠民
54726  3742  11711 12.9  32 1 乐陵
54727  3641  11733 122.6  32 1 章丘
54728  3746  11723 16.6  32 1 庆云
54729  3710  11752 11.2  32 1 高青
54730  3742  11808 11.2  32 1 沾化
54731  3729  11813 16.8  32 1 利津
54732  3752  11831 13.9  32 1 河口
54734  3721  11800 12.4  32 1 滨州
54736  3726  11840 9.2  16 1 东营
54737  3709  11809 17.4  32 1 博兴
54738  3703  11824 20.3  32 1 广饶
54744  3735  11833 16.0  32 1 垦利
54749  3711  11957 48.9  32 1 莱州
54751  3756  12044 43.0  4 1 长岛
54752  3748  12046 64.9  32 1 蓬莱
54753  3738  12020 4.8  16 1 龙口
54755  3722  12023 113.4  32 1 招远
54759  3718  12050 172.8  32 1 栖霞
54764  3730  12115 33.9  32 1 福山
54765  3729  12126 57.1  32 1 烟台
54766  3723  12137 23.6  32 1 牟平
54774  3728  12208 64.8  16 1 威海
54776  3724  12242 46.4  2 1 成山头
54777  3712  12204 112.8  32 1 文登
54778  3710  12229 60.8  32 1 荣成
54800  3659  11515 35.1  32 1 威县
54801  3651  11529 36.1  32 1 临西
54802  3649  11544 35.2  32 1 临清
54803  3659  11601 28.4  32 1 夏津
54804  3618  11508 46.0  32 1 大名
54805  3629  11527 41.3  32 1 冠县
54806  3625  11558 39.1  32 1 聊城
54807  3608  11548 44.0  32 1 阳谷
54808  3614  11538 38.5  16 1 莘县
54809  3633  11517 42.9  32 1 馆陶
54810  3652  11616 28.7  32 1 高唐
54811  3656  11637 22.0  32 1 禹城
54812  3647  11645 23.3  32 1 齐河
54814  3635  11614 32.2  32 1 茌平
54815  3623  11616 33.2  32 1 东阿
54816  3631  11648 82.2  32 1 长清
54817  3559  11552 43.0  32 1 台前
54818  3615  11625 72.7  32 1 平阴
54819  3611  11648 118.6  32 1 肥城
54820  3649  11510 38.1  32 1 邱县
54821  3700  11712 21.7  32 1 济阳
54822  3652  11744 46.1  32 1 邹平
54823  3636  11700 169.2  2 1 济南
54824  3638  11757 95.3  16 1 淄川
54825  3631  11751 195.9  32 1 博山
54826  3615  11706 1536.5  16 1 泰山
54827  3610  11709 137.9  32 1 泰安
54828  3614  11741 228.6  32 1 莱芜
54829  3646  11752 88.2  32 1 周村
54830  3649  11756 35.3  16 1 淄博
54831  3639  11830 102.6  32 1 青州
54832  3653  11844 29.5  32 1 寿光
54833  3658  11805 19.5  32 1 桓台
54834  3652  11817 46.3  32 1 临淄
54835  3630  11833 110.6  32 1 临朐
54836  3611  11810 303.7  16 1 沂源
54837  3641  11850 76.3  32 1 昌乐
54841  3652  11924 8.9  32 1 昌邑
54842  3646  11957 52.1  32 1 平度
54843  3645  11912 22.5  4 1 潍坊
54844  3625  11911 67.5  32 1 安丘
54846  3623  11945 37.6  32 1 高密
54848  3559  11925 81.8  32 1 诸城
54849  3616  12000 16.2  32 1 胶州
54851  3654  12034 81.5  32 1 莱西
54852  3658  12044 53.6  16 1 莱阳
54853  3610  12025 43.7  32 1 崂山
54855  3623  12028 30.2  32 1 即墨
54857  3604  12020 75.3  2 1 青岛
54861  3656  12132 47.8  32 1 乳山
54863  3647  12111 40.1  4 1 海阳
54871  3656  12229 9.1  32 1 石岛
54900  3542  11501 54.1  32 1 濮阳
54901  3605  11510 47.8  32 1 南乐
54902  3554  11507 49.7  32 1 清丰
54903  3551  11529 50.6  32 1 范县
54904  3535  11531 51.5  32 1 鄄城
54905  3535  11556 53.8  32 1 郓城
54906  3515  11525 51.1  4 1 菏泽
54907  3459  11639 38.7  32 1 鱼台
54908  3516  11506 57.6  32 1 东明
54909  3505  11533 51.7  16 1 定陶
54910  3549  11603 45.1  32 1 梁山
54911  3556  11627 51.5  32 1 东平
54912  3542  11629 47.6  32 1 汶上
54913  3545  11649 67.5  32 1 宁阳
54914  3525  11605 44.7  32 1 巨野
54915  3526  11636 34.1  32 1 济宁
54916  3534  11651 60.1  4 1 兖州
54917  3506  11619 41.3  32 1 金乡
54918  3536  11658 66.5  32 1 曲阜
54919  3525  11659 111.0  32 1 邹城
54920  3539  11717 110.7  32 1 泗水
54921  3525  11620 39.6  32 1 嘉祥
54922  3553  11747 223.8  32 1 新泰
54923  3543  11756 202.1  32 1 蒙阴
54925  3531  11738 170.8  32 1 平邑
54927  3506  11712 79.6  32 1 滕州
54929  3516  11758 120.6  32 1 费县
54932  3546  11839 184.7  32 1 沂水
54935  3532  11826 120.4  32 1 沂南
54936  3534  11850 112.2  16 1 莒县
54938  3503  11824 66.0  4 1 临沂
54939  3510  11849 116.1  32 1 莒南
54940  3545  11912 147.8  32 1 五莲
54943  3553  12000 13.3  32 1 胶南
54945  3526  11932 37.1  4 1 日照
55228  3230  8005 4279.6  2 1 狮泉河
55248  3209  8425 4416.1  4 1 改则
55279  3122  9001 4701.0  4 1 班戈
55294  3221  9106 4801.0  4 1 安多
55299  3129  9204 4508.0  2 1 那曲
55437  3017  8115 3901.1  4 1 普兰
55472  3057  8838 4673.9  2 1 申扎
55493  3029  9106 4201.1  16 1 当雄
55569  2905  8738 4001.1  16 1 拉孜
55572  2941  8906 4001.2  32 1 南木林
55578  2915  8853 3837.0  4 1 日喀则
55585  2926  9010 3810.9  16 1 尼木
55589  2918  9059 3556.0  32 1 贡嘎
55591  2940  9108 3651.0  1 1 拉萨
55593  2951  9144 3805.5  32 1 墨竹工卡
55597  2902  9141 3741.0  32 1 琼结
55598  2915  9146 3553.2  16 1 泽当
55655  2811  8558 3811.0  32 1 聂拉木
55664  2838  8705 4301.7  2 1 定日
55680  2855  8936 4041.0  16 1 江孜
55681  2858  9024 4433.0  32 1 浪卡子
55690  2759  9157 4281.0  16 1 错那
55696  2825  9228 3861.0  4 1 隆子
55773  2744  8905 4301.2  2 1 帕里
56004  3413  9226 4534.3  2 1 沱沱河
56016  3351  9537 4181.2  32 1 治多
56018  3253  9517 4068.5  4 1 杂多
56021  3407  9548 4176.0  4 1 曲麻莱
56029  3300  9700 3682.2  2 1 玉树
56033  3455  9813 4274.3  4 1 玛多
56034  3348  9708 4416.2  16 1 清水河
56038  3259  9806 4201.0  16 1 石渠
56043  3429  10014 3720.0  16 1 玛沁
56045  3358  9954 4051.4  32 1 甘德
56046  3345  9939 3968.5  2 1 达日
56065  3444  10136 3501.0  16 1 河南
56067  3326  10129 3630.0  16 1 久治
56071  3435  10230 3107.3  32 1 碌曲
56074  3400  10205 3473.2  16 1 玛曲
56079  3335  10258 3442.6  16 1 若尔盖
56080  3500  10254 2911.7  4 1 合作
56081  3442  10321 2811.0  32 1 临潭
56082  3435  10330 2544.7  32 1 卓尼
56084  3404  10314 2376.1  32 1 迭部
56091  3451  10428 1884.0  32 1 漳县
56092  3500  10439 1729.3  32 1 陇西
56093  3426  10401 2316.2  16 1 岷县
56094  3347  10422 1400.9  32 1 舟曲
56095  3402  10423 1754.8  32 1 宕昌
56096  3324  10455 1081.7  4 1 武都
56097  3316  10414 1407.1  32 1 九寨沟
56106  3153  9347 4023.8  4 1 索县
56109  3129  9347 3941.0  32 1 比如
56116  3125  9536 3874.0  4 1 丁青
56125  3212  9628 3645.2  4 1 囊谦
56128  3113  9636 3811.0  32 1 类乌齐
56137  3109  9710 3307.0  1 1 昌都
56144  3148  9835 3185.0  4 1 德格
56146  3137  10000 3395.4  2 1 甘孜
56147  3113  9850 3261.0  32 1 白玉
56151  3256  10045 3531.0  16 1 班玛
56152  3217  10020 3895.8  16 1 色达
56158  3124  10040 3250.0  32 1 炉霍
56164  3216  10059 3286.6  32 1 壤塘
56167  3059  10107 2959.2  16 1 道孚
56168  3129  10204 2170.7  32 1 金川
56171  3254  10142 3276.6  32 1 阿坝
56172  3154  10214 2666.3  4 1 马尔康
56173  3248  10233 3492.7  4 1 红原
56178  3100  10221 2368.6  16 1 小金
56180  3141  10351 1591.6  32 1 茂县
56181  3041  10342 543.3  32 1 崇州
56182  3239  10334 2852.1  2 1 松潘
56183  3128  10335 1326.6  32 1 汶川
56184  3126  10310 1884.6  32 1 理县
56185  3205  10259 2400.5  32 1 黑水
56186  3120  10412 589.3  32 1 绵竹
56187  3045  10352 548.9  32 1 温江
56188  3100  10340 689.4  16 1 都江堰
56189  3059  10356 584.1  32 1 彭州
56190  3133  10433 518.3  32 1 安县
56192  3257  10440 1016.9  32 1 文县
56193  3225  10431 894.9  16 1 平武
56194  3149  10427 679.7  32 1 北川
56195  3147  10444 531.8  32 1 江油
56196  3127  10444 519.8  16 1 绵阳
56197  3108  10411 537.6  32 1 什邡
56198  3119  10430 523.7  32 1 德阳
56199  3102  10441 424.6  32 1 中江
56202  3040  9317 4489.8  16 1 嘉黎
56223  3045  9550 3641.0  32 1 洛隆
56227  2952  9546 2736.0  32 1 波密
56228  3003  9655 3261.0  32 1 八宿
56247  3000  9906 2590.2  4 1 巴塘
56251  3056  10019 2999.2  16 1 新龙
56257  3000  10016 3950.5  16 1 理塘
56263  3053  10153 1948.1  32 1 丹巴
56267  3002  10101 2598.7  32 1 雅江
56272  3049  10353 560.6  32 1 郫县
56273  3023  10249 1011.1  32 1 宝兴
56276  3027  10349 468.0  32 1 新津
56278  3004  10246 756.8  32 1 天全
56279  3009  10256 683.1  32 1 芦山
56280  3005  10307 692.5  32 1 名山
56281  3011  10330 512.0  32 1 蒲江
56284  3025  10329 502.9  32 1 邛崃
56285  3036  10331 525.3  32 1 大邑
56286  3033  10415 514.9  32 1 龙泉驿
56287  2959  10300 629.4  16 1 雅安
56288  3035  10355 495.8  32 1 双流
56289  3012  10352 439.6  32 1 彭山
56290  3047  10411 515.1  32 1 新都
56291  3058  10417 474.9  32 1 广汉
56295  3023  10433 443.1  32 1 简阳
56296  3051  10426 449.5  32 1 金堂
56297  3001  10409 431.4  32 1 仁寿
56298  3008  10436 415.9  32 1 资阳
56307  2909  9235 3260.9  32 1 加查
56312  2940  9420 2993.4  2 1 林芝
56317  2913  9413 2948.0  32 1 米林
56331  2940  9750 3781.0  32 1 左贡
56342  2941  9836 3871.0  32 1 芒康
56357  2903  10018 3728.6  16 1 稻城
56371  2955  10214 1322.1  32 1 泸定
56373  2947  10251 763.7  32 1 荥经
56374  3003  10158 2615.5  2 1 康定
56376  2921  10241 1098.7  32 1 汉源
56378  2914  10221 891.3  32 1 石棉
56380  2955  10322 466.9  32 1 洪雅
56381  3001  10331 497.0  32 1 丹棱
56382  2944  10336 408.0  32 1 夹江
56383  2950  10352 454.3  32 1 青神
56384  2936  10329 446.8  32 1 峨眉
56385  2931  10320 3047.4  4 1 峨眉山
56386  2934  10345 422.2  16 1 乐山
56387  2914  10316 639.5  32 1 峨边
56389  2912  10357 386.8  32 1 犍为
56390  2940  10404 403.6  32 1 井研
56391  3005  10349 416.3  32 1 眉山
56393  2946  10451 370.9  32 1 资中
56394  2927  10426 382.1  32 1 荣县
56395  2931  10440 349.5  32 1 威远
56396  2921  10446 352.6  32 1 自贡
56399  2911  10459 307.4  32 1 富顺
56434  2839  9728 2331.0  32 1 察隅
56441  2843  9917 2424.3  32 1 得荣
56443  2856  9948 2842.9  32 1 乡城
56444  2829  9855 3320.8  2 1 德钦
56459  2756  10116 2424.6  16 1 木里
56462  2900  10130 2931.4  4 1 九龙
56473  2857  10246 1061.5  32 1 甘洛
56474  2833  10210 1775.2  32 1 冕宁
56475  2839  10231 1660.1  16 1 越西
56478  2818  10226 1819.3  32 1 喜德
56479  2800  10251 2133.7  32 1 昭觉
56480  2849  10332 564.9  32 1 马边
56483  2836  10357 412.9  32 1 绥江
56485  2816  10335 1254.8  16 1 雷波
56487  2820  10308 1945.1  32 1 美姑
56489  2814  10338 876.3  32 1 永善
56490  2857  10354 396.9  32 1 沐川
56491  2842  10434 288.6  32 1 宜宾县
56492  2848  10436 342.1  2 1 宜宾
56493  2851  10458 297.2  32 1 南溪
56494  2839  10409 460.0  32 1 屏山
56496  2819  10514 330.0  32 1 兴文
56497  2806  10414 433.3  32 1 盐津
56498  2810  10430 442.4  32 1 筠连
56499  2823  10447 368.8  32 1 珙县
56533  2745  9840 1587.7  16 1 贡山
56543  2750  9942 3277.6  16 1 香格里拉
56548  2710  9917 2326.0  16 1 维西
56565  2726  10131 2545.0  16 1 盐源
56567  2718  10051 2242.3  32 1 宁蒗
56569  2725  10211 1381.2  32 1 德昌
56571  2754  10216 1592.7  2 1 西昌
56575  2722  10233 1429.2  32 1 普格
56578  2704  10245 1093.7  32 1 宁南
56580  2743  10248 2461.5  32 1 布拖
56582  2745  10354 1177.0  32 1 大关
56584  2742  10315 1093.7  32 1 金阳
56585  2711  10332 1916.0  32 1 鲁甸
56586  2721  10343 1950.0  16 1 昭通
56592  2826  10431 360.0  32 1 高县
56593  2835  10455 281.9  32 1 长宁
56594  2738  10403 884.0  32 1 彝良
56595  2725  10452 1644.3  32 1 镇雄
56596  2751  10503 1176.5  32 1 威信
56598  2708  10444 1538.7  32 1 赫章
56641  2654  9852 1191.5  32 1 福贡
56643  2552  9851 950.6  32 1 六库
56645  2625  9925 2345.9  32 1 兰坪
56646  2632  9955 2193.5  32 1 剑川
56649  2606  9958 2059.9  32 1 洱源
56651  2651  10013 2381.0  4 1 丽江
56652  2641  10045 2131.0  32 1 永胜
56654  2635  10011 2196.8  32 1 鹤庆
56664  2638  10116 1230.8  16 1 华坪
56665  2641  10151 1140.8  32 1 盐边
56666  2635  10143 1191.1  32 1 攀枝花
56669  2603  10140 1531.2  32 1 永仁
56670  2654  10207 1105.8  32 1 米易
56671  2639  10215 1788.6  4 1 会理
56673  2655  10255 894.9  32 1 巧家
56674  2630  10144 1107.6  32 1 仁和
56675  2639  10235 1695.7  32 1 会东
56684  2625  10317 2110.8  16 1 会泽
56688  2606  10310 1253.4  32 1 东川
56691  2652  10417 2239.2  2 1 威宁
56693  2635  10452 1817.2  32 1 水城
56697  2613  10405 1987.4  32 1 宣威
56739  2501  9830 1656.1  1 1 腾冲
56742  2554  9922 1663.9  32 1 云龙
56745  2541  9957 1627.2  32 1 漾濞
56746  2528  9931 1618.3  32 1 永平
56748  2507  9911 1651.2  16 1 保山
56751  2542  10011 1991.6  4 1 大理
56752  2550  10034 1440.3  32 1 宾川
56755  2521  10029 1670.0  32 1 弥渡
56756  2529  10035 1993.5  32 1 祥云
56757  2516  10017 1744.0  32 1 巍山
56761  2543  10119 1873.7  32 1 大姚
56763  2544  10152 1120.8  16 1 元谋
56764  2532  10114 1875.2  32 1 姚安
56766  2520  10131 1769.3  32 1 牟定
56767  2511  10117 1858.3  32 1 南华
56768  2502  10133 1820.9  4 1 楚雄
56772  2514  10230 1694.4  32 1 富民
56774  2532  10225 1712.0  32 1 武定
56775  2533  10227 1752.1  32 1 禄劝
56777  2509  10204 1566.8  32 1 禄丰
56778  2500  10239 1889.3  1 1 昆明
56781  2533  10316 1874.1  32 1 寻甸
56782  2525  10333 2064.8  32 1 马龙
56783  2530  10348 1906.3  32 1 曲靖
56785  2520  10302 1925.5  32 1 嵩明
56786  2535  10350 1900.1  4 1 沾益
56788  2502  10340 1842.0  32 1 陆良
56790  2541  10415 1920.5  32 1 富源
56792  2547  10458 1648.5  32 1 普安
56793  2543  10428 1796.0  16 1 盘县
56835  2404  9749 958.7  32 1 陇川
56836  2442  9757 828.1  32 1 盈江
56838  2400  9751 763.3  4 1 瑞丽
56839  2346  9849 994.5  32 1 镇康
56840  2449  9818 1013.0  32 1 粱河
56841  2436  9841 1527.6  32 1 龙陵
56842  2444  9911 1473.4  32 1 施甸
56843  2450  9937 1650.2  32 1 昌宁
56844  2426  9835 915.0  32 1 潞西
56846  2435  9956 1569.8  32 1 凤庆
56849  2402  9914 1607.2  32 1 永德
56851  2502  10031 1378.6  32 1 南涧
56854  2427  10008 1108.1  32 1 云县
56856  2428  10052 1163.5  16 1 景东
56862  2441  10136 1966.0  32 1 双柏
56863  2456  10229 1850.0  32 1 安宁
56867  2359  10107 1107.2  32 1 镇沅
56869  2404  10158 1498.2  32 1 新平
56870  2440  10210 1576.3  32 1 易门
56871  2439  10236 1894.2  32 1 晋宁
56872  2457  10237 2360.0  32 1 太华山
56873  2440  10254 1752.0  32 1 澄江
56875  2420  10233 1717.5  16 1 玉溪
56876  2417  10246 1732.5  32 1 江川
56878  2408  10245 1802.4  32 1 通海
56879  2412  10255 1610.3  32 1 华宁
56880  2455  10310 1532.9  32 1 宜良
56881  2445  10316 1694.7  32 1 石林
56882  2453  10248 1909.2  32 1 呈贡
56883  2450  10359 1846.2  32 1 师宗
56885  2424  10327 1416.7  32 1 弥勒
56886  2432  10346 1705.5  16 1 泸西
56889  2403  10410 1518.5  32 1 丘北
56891  2459  10419 1482.4  32 1 罗平
56898  2411  10224 1542.8  32 1 峨山
56944  2309  9916 1280.7  32 1 沧源
56946  2333  9924 1104.8  8 1 耿马
56948  2238  9936 1156.1  32 1 西盟
56949  2219  9936 946.1  32 1 孟连
56950  2328  9948 1044.0  32 1 双江
56951  2353  10005 1502.6  4 1 临沧
56952  2330  10042 914.0  32 1 景谷
56954  2234  9956 1054.4  16 1 澜沧
56958  2155  10025 1177.3  32 1 勐海
56959  2200  10047 581.1  4 1 景洪
